time,protocol,source,destination,hostname,length,info,service
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56872,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56872,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56871,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56872,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56870,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,66,Port: 56872 -> 443,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,78,Port: 56873 -> 443,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,78,Port: 56874 -> 443,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,78,Port: 56875 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,583,Port: 56873 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56874,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,583,Port: 56874 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,583,Port: 56875 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56873,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,159,Port: 56873 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56875,
2025-06-15 20:01:35,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56874,
2025-06-15 20:01:35,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56874,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56874,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,1023,Port: 443 -> 56874,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,159,Port: 56875 -> 443,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56873,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56873 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,194,Port: 56873 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,159,Port: 56874 -> 443,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56875,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56875 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,206,Port: 56875 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,445,Port: 56875 -> 443,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56873,
2025-06-15 20:01:36,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56874,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56874 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,207,Port: 56874 -> 443,
2025-06-15 20:01:36,tcp,192.168.4.174,17.248.201.73,,445,Port: 56874 -> 443,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,445,Port: 56875 -> 443,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,445,Port: 56874 -> 443,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,78,Port: 443 -> 56875,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,767,Port: 443 -> 56873,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,97,Port: 56873 -> 443,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,78,Port: 56876 -> 443,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,78,Port: 443 -> 56874,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56873,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56873,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,66,Port: 56873 -> 443,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56875,
2025-06-15 20:01:37,tcp,17.248.201.73,192.168.4.174,,435,Port: 443 -> 56875,
2025-06-15 20:01:37,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,97,Port: 56875 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56876,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,583,Port: 56876 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,78,Port: 56877 -> 443,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56874,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,446,Port: 443 -> 56874,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,97,Port: 56874 -> 443,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,66,Port: 56875 -> 443,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56875,
2025-06-15 20:01:38,tcp,192.168.4.174,17.248.201.73,,78,Port: 56878 -> 443,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56876,
2025-06-15 20:01:38,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56876,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56876,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56876,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56876,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,583,Port: 56877 -> 443,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,159,Port: 56876 -> 443,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56878,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56874,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,66,Port: 56874 -> 443,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,583,Port: 56878 -> 443,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56877,
2025-06-15 20:01:39,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:39,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56876,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56876 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,80,Port: 56876 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,159,Port: 56877 -> 443,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56878,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56878,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56878,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56878,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,1024,Port: 443 -> 56878,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,159,Port: 56878 -> 443,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56876,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56877,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56877 -> 443,
2025-06-15 20:01:40,tcp,192.168.4.174,17.248.201.73,,194,Port: 56877 -> 443,
2025-06-15 20:01:40,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56878,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56878 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,195,Port: 56878 -> 443,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56877,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56877,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56878,
2025-06-15 20:01:41,udp,142.250.217.170,192.168.4.174,,1242,Port: 443 -> 51757,
2025-06-15 20:01:41,icmp,192.168.4.174,142.250.217.170,mia07s60-in-f10.1e100.net,70,ICMP Type: 3,Web Browsing
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,949,Port: 443 -> 56876,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,97,Port: 56876 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,78,Port: 56879 -> 443,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56876,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56876 -> 443,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56879,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56879 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,583,Port: 56879 -> 443,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,768,Port: 443 -> 56877,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,97,Port: 56877 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:41,tcp,17.248.201.73,192.168.4.174,,756,Port: 443 -> 56878,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,97,Port: 56878 -> 443,
2025-06-15 20:01:41,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,78,Port: 56880 -> 443,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56877,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,66,Port: 56877 -> 443,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,78,Port: 56881 -> 443,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56879,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56879,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56879,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56879,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56879,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,66,Port: 56879 -> 443,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56877,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56878,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56878,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,66,Port: 56878 -> 443,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,159,Port: 56879 -> 443,
2025-06-15 20:01:42,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56880,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,66,Port: 56880 -> 443,
2025-06-15 20:01:42,tcp,192.168.4.174,17.248.201.73,,583,Port: 56880 -> 443,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,74,Port: 443 -> 56881,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,66,Port: 56881 -> 443,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,583,Port: 56881 -> 443,
2025-06-15 20:01:43,udp,192.168.4.174,192.168.254.254,gateway.home,75,Port: 23023 -> 53,
2025-06-15 20:01:43,udp,192.168.4.174,192.168.254.254,gateway.home,75,Port: 31946 -> 53,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56879,
2025-06-15 20:01:43,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,840,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,66,Port: 56879 -> 443,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56879 -> 443,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,204,Port: 56879 -> 443,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,355,Port: 56879 -> 443,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56880,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56880,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56880,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56880,
2025-06-15 20:01:43,tcp,17.248.201.73,192.168.4.174,,1174,Port: 443 -> 56880,
2025-06-15 20:01:43,tcp,192.168.4.174,17.248.201.73,,66,Port: 56880 -> 443,
2025-06-15 20:01:44,tcp,192.168.4.174,17.248.201.73,,159,Port: 56880 -> 443,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56881,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56881,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56881,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,1266,Port: 443 -> 56881,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,1022,Port: 443 -> 56881,
2025-06-15 20:01:44,tcp,192.168.4.174,17.248.201.73,,66,Port: 56881 -> 443,
2025-06-15 20:01:44,udp,192.168.254.254,192.168.4.174,,333,Port: 53 -> 23023,
2025-06-15 20:01:44,udp,192.168.254.254,192.168.4.174,,124,Port: 53 -> 31946,
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,1292,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,1286,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,1292,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,1292,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,1292,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,464,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56879,
2025-06-15 20:01:44,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56879,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,159,Port: 56881 -> 443,
2025-06-15 20:01:45,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56880,
2025-06-15 20:01:45,udp,142.250.64.206,192.168.4.174,,69,Port: 443 -> 61710,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,66,Port: 56880 -> 443,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56880 -> 443,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,80,Port: 56880 -> 443,
2025-06-15 20:01:45,udp,142.250.64.206,192.168.4.174,,69,Port: 443 -> 61710,
2025-06-15 20:01:45,udp,142.250.64.206,192.168.4.174,,65,Port: 443 -> 61710,
2025-06-15 20:01:45,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,73,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:45,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56881,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,66,Port: 56881 -> 443,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56881 -> 443,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,210,Port: 56881 -> 443,
2025-06-15 20:01:45,tcp,192.168.4.174,17.248.201.73,,299,Port: 56881 -> 443,
2025-06-15 20:01:45,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56880,
2025-06-15 20:01:45,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56880,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,439,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,75,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,192.168.4.174,142.250.64.206,mia07s56-in-f14.1e100.net,77,Port: 61710 -> 443,Web Browsing
2025-06-15 20:01:46,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56881,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1288,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
2025-06-15 20:01:46,udp,142.250.64.206,192.168.4.174,,1292,Port: 443 -> 61710,
